Location,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
Adelaide,7.95,17.465,0.95,36.05,10.3,14.85,57.8,45.65,1027.635,1025.565,12.809999999999999,16.35
Adelaide,9.184999999999999,19.104999999999997,1.5,36.85,11.3,16.65,63.4,50.15,1021.14,1019.075,14.044999999999998,17.705000000000002
Adelaide,10.455,21.415,0.5599999999999999,37.85,13.75,16.45,51.0,39.1,1022.0049999999999,1018.8950000000001,16.235,20.335
Adelaide,11.07,20.669999999999998,2.9799999999999995,34.25,10.7,14.75,66.15,48.95,1019.9350000000001,1017.735,15.540000000000001,19.835
Adelaide,10.934999999999999,18.565,2.56,38.3,11.8,16.65,73.05,55.6,1019.805,1017.7700000000001,14.209999999999999,17.73
Adelaide,10.955,17.65,4.4,37.55,11.55,14.3,78.55,64.05,1019.65,1017.95,13.95,16.615000000000002
Adelaide,17.41,31.365,0.0,38.8,10.0,17.35,46.0,31.05,1018.6450000000001,1016.71,22.43,29.49
Adelaide,14.605,25.689999999999998,1.31,42.15,12.65,17.4,53.25,38.75,1016.615,1014.9,18.845,24.384999999999998
Adelaide,16.1,27.060000000000002,0.08,37.6,10.45,17.25,53.25,37.1,1016.1899999999999,1015.1,20.055,25.665
Adelaide,14.485,26.810000000000002,0.45,36.2,11.45,17.45,48.2,35.0,1016.5049999999999,1014.6450000000001,19.98,25.475
Adelaide,16.435,26.945,1.7400000000000002,38.85,11.4,15.55,61.15,49.1,1014.365,1012.675,20.465,25.075
Adelaide,15.594999999999999,28.65,0.2,37.85,10.45,17.2,52.6,37.35,1013.3549999999999,1011.7950000000001,21.35,27.105
Adelaide,8.705,16.355,3.44,39.35,11.75,16.45,72.9,58.75,1020.5,1018.6450000000001,11.805,15.25
Adelaide,11.59,19.259999999999998,1.0799999999999998,41.45,14.7,17.75,64.7,58.35,1019.72,1017.39,15.190000000000001,17.8
Adelaide,9.855,17.855,3.3200000000000003,42.6,15.55,18.55,72.1,60.75,1016.18,1014.76,13.459999999999999,16.45
Adelaide,13.95,23.505000000000003,2.37,38.8,10.95,17.1,61.6,44.25,1018.8149999999999,1017.265,17.175,22.205000000000002
Adelaide,13.305000000000001,22.27,0.5599999999999999,35.15,12.05,14.75,65.2,47.35,1018.805,1016.865,16.34,21.33
Adelaide,12.225,19.07,2.82,35.55,10.65,14.85,70.0,54.4,1020.1200000000001,1017.96,15.194999999999999,18.134999999999998
Adelaide,19.345,34.67,0.0,40.85,11.45,17.0,37.5,22.25,1013.51,1011.475,25.044999999999998,33.0
Adelaide,16.27,28.064999999999998,1.4,36.45,9.6,15.3,55.55,35.8,1017.3549999999999,1015.375,20.625,26.755000000000003
Adelaide,15.309999999999999,25.044999999999998,1.07,41.8,11.55,18.15,60.4,44.5,1016.11,1015.425,18.990000000000002,23.31
Adelaide,12.57,23.555,0.7,43.3,14.15,20.4,50.3,34.8,1018.71,1017.1049999999999,17.09,22.34
Adelaide,13.205000000000002,23.78,0.52,45.25,13.8,19.3,57.0,43.95,1014.4,1013.075,17.794999999999998,21.865000000000002
Adelaide,12.545,22.98,1.33,40.3,12.6,15.7,53.35,41.0,1016.97,1015.1700000000001,16.94,21.695
Adelaide,9.885,19.119999999999997,4.96,39.1,12.55,15.2,62.55,56.3,1013.835,1012.46,14.209999999999999,17.14
Adelaide,10.385,20.47,1.26,35.6,11.15,16.8,58.55,46.7,1017.43,1015.4549999999999,15.35,19.18
Adelaide,11.125,21.435000000000002,1.48,37.6,12.65,16.35,55.5,41.75,1017.6,1016.225,15.675,20.035
Adelaide,8.75,15.184999999999999,3.09,36.8,9.8,14.6,76.9,64.5,1016.5450000000001,1014.775,11.465,14.184999999999999
Adelaide,9.25,17.03,3.16,35.7,9.85,13.15,69.4,58.25,1017.3,1015.4100000000001,12.985,15.959999999999999
Adelaide,8.6,16.305,3.08,38.25,9.0,14.35,69.95,56.55,1020.635,1018.96,12.629999999999999,15.325
Adelaide,14.815000000000001,24.169999999999998,1.02,31.4,8.45,12.85,58.45,46.4,1020.2549999999999,1018.0350000000001,18.945,22.89
Adelaide,12.24,22.365000000000002,2.19,29.8,6.4,12.2,67.8,49.25,1022.775,1021.15,15.955000000000002,21.259999999999998
Adelaide,10.24,19.854999999999997,0.29000000000000004,26.75,6.9,10.9,64.8,46.55,1023.9350000000001,1021.22,14.66,18.97
Adelaide,15.330000000000002,29.095,0.8099999999999999,36.75,11.4,14.6,44.85,33.75,1014.93,1013.11,21.6,27.485000000000003
Adelaide,14.4,26.075,0.61,34.9,9.0,15.05,55.65,42.5,1014.7299999999999,1013.0600000000001,19.175,24.435
Adelaide,17.65,30.494999999999997,1.0,35.6,5.75,12.4,54.3,36.25,1014.1450000000001,1011.975,22.375,29.23
Adelaide,9.765,19.14,1.67,31.65,9.5,12.25,58.7,49.25,1021.6600000000001,1019.385,14.794999999999998,18.035
Adelaide,11.105,19.130000000000003,0.8799999999999999,31.65,9.2,12.5,68.4,53.1,1022.885,1021.11,14.2,17.94
Adelaide,11.215,24.29,1.3299999999999998,36.2,9.6,14.5,40.7,33.15,1026.365,1024.1200000000001,18.685,23.330000000000002
Adelaide,10.39,18.04,3.08,32.35,8.85,14.0,73.4,60.95,1021.97,1020.3799999999999,13.305000000000001,16.895
Adelaide,7.955,16.865000000000002,1.59,32.9,8.15,12.0,71.0,52.3,1024.105,1022.085,11.995000000000001,15.805000000000001
Adelaide,7.9,15.65,2.24,28.95,7.1,10.9,75.4,59.05,1024.1200000000001,1021.9350000000001,10.955,14.8
Adelaide,16.085,27.25,1.1400000000000001,27.75,6.85,12.85,60.65,40.9,1019.015,1017.15,19.6,25.85
Adelaide,14.885,26.205000000000002,0.57,35.4,8.2,12.45,61.25,41.85,1017.725,1015.735,18.580000000000002,24.985
Adelaide,13.535,24.25,0.38,33.6,9.45,11.95,58.25,45.05,1019.1,1016.43,18.630000000000003,22.82
Adelaide,17.375,31.395,0.4,36.05,9.85,14.55,42.9,29.85,1015.49,1014.055,24.044999999999998,29.735000000000003
Adelaide,15.55,27.214999999999996,1.52,34.6,8.0,13.75,55.9,39.45,1015.21,1013.5350000000001,20.155,25.45
Adelaide,18.695,32.415,0.44000000000000006,35.35,7.55,13.7,42.95,28.95,1015.86,1013.6600000000001,24.43,30.82
Adelaide,16.715,29.595,0.12,39.35,10.95,19.05,45.95,29.25,1015.9100000000001,1014.025,21.445,27.78
Adelaide,17.4,30.435000000000002,0.52,38.1,10.45,17.15,42.35,29.35,1015.7049999999999,1013.6450000000001,22.744999999999997,28.860000000000003
Adelaide,18.7,31.905,0.25,35.9,8.95,14.85,46.35,31.6,1016.15,1014.345,23.505000000000003,29.98
Adelaide,10.765,19.580000000000002,2.4899999999999998,40.85,13.4,17.7,62.25,50.15,1015.55,1013.835,14.680000000000001,17.740000000000002
Adelaide,12.275,21.475,2.5,39.15,14.05,18.6,58.45,43.9,1017.7450000000001,1016.15,16.645,20.294999999999998
Adelaide,16.02,30.47,0.03,38.35,10.3,15.8,41.6,29.15,1018.3950000000001,1016.075,22.78,28.71
Adelaide,10.23,18.07,3.46,44.9,13.8,19.6,65.25,51.2,1017.6049999999999,1016.195,13.475,17.0
Adelaide,9.415,16.815,3.2299999999999995,41.0,11.0,16.4,70.0,57.95,1020.6049999999999,1019.085,12.45,15.0
Adelaide,9.645,16.91,3.08,40.15,13.25,19.25,65.55,55.1,1019.49,1017.885,13.430000000000001,15.7
Adelaide,12.8,22.19,1.1400000000000001,34.5,11.1,16.25,66.0,48.95,1019.76,1017.3299999999999,17.080000000000002,20.85
Adelaide,12.925,22.43,1.6600000000000001,35.3,9.15,15.2,68.9,47.05,1022.635,1020.195,15.55,21.22
Adelaide,8.655,18.35,1.09,33.7,8.3,14.95,67.1,48.0,1021.89,1019.4649999999999,13.285,17.509999999999998
Adelaide,12.285,23.035,1.04,42.25,11.9,18.7,55.05,37.7,1013.4649999999999,1011.075,16.869999999999997,21.785
Adelaide,14.01,26.410000000000004,0.30999999999999994,39.1,12.35,17.45,52.55,32.25,1016.2700000000001,1014.2700000000001,18.725,24.825
Adelaide,15.834999999999999,27.205000000000002,1.36,38.8,12.95,17.25,46.95,31.7,1013.39,1011.865,20.175,25.869999999999997
Adelaide,8.105,17.52,1.85,36.75,10.1,14.95,69.4,52.5,1024.3200000000002,1022.3100000000001,12.05,16.244999999999997
Albury,18.59,35.214999999999996,0.36,46.85,12.4,17.15,43.1,19.2,1012.5200000000001,1009.61,24.31,33.775
Albury,13.684999999999999,28.975,0.21000000000000002,37.8,12.5,17.55,48.4,23.35,1014.97,1011.875,18.97,27.345
Albury,14.145,28.639999999999997,0.6599999999999999,42.55,7.3,16.4,62.75,33.95,1015.765,1013.2149999999999,18.130000000000003,26.794999999999998
Albury,14.040000000000001,30.575,0.5399999999999999,34.75,10.45,14.95,53.15,29.35,1014.7700000000001,1012.15,20.05,28.775
Albury,16.56,34.410000000000004,0.8400000000000001,43.6,11.65,16.6,49.2,26.7,1012.2549999999999,1009.155,23.735,32.4
Albury,11.3,25.515,1.37,37.55,10.75,16.6,65.0,40.7,1012.0450000000001,1009.275,16.955000000000002,23.865000000000002
Albury,10.415000000000001,24.905,2.2,32.2,9.15,14.85,65.4,40.25,1018.125,1015.625,16.66,23.54
Albury,6.45,18.155,2.19,36.75,10.4,15.65,75.8,56.15,1014.8799999999999,1012.725,11.03,16.3
Albury,6.83,20.56,1.5100000000000002,38.2,10.5,17.05,71.95,42.25,1016.775,1014.0450000000001,12.045,19.59
Albury,13.915000000000001,30.035000000000004,0.20999999999999996,36.6,9.9,14.95,57.8,34.05,1016.6600000000001,1013.5450000000001,20.06,28.47
Albury,8.395,20.785,2.27,27.3,6.5,13.5,75.3,51.05,1019.135,1015.945,13.165000000000001,20.035
Albury,6.220000000000001,17.215,2.45,28.65,8.5,11.8,77.7,55.2,1020.7700000000001,1017.7950000000001,10.55,16.605
Albury,4.945,14.395,2.16,30.25,10.35,14.6,88.6,65.0,1019.6899999999999,1018.0350000000001,8.655,13.555000000000001
Albury,8.565000000000001,18.28,2.3600000000000003,40.05,11.0,15.6,77.65,58.4,1011.885,1009.385,12.015,17.315
Albury,17.03,33.335,3.05,35.8,11.15,14.95,54.6,28.25,1012.9399999999999,1010.165,22.39,31.375
Albury,15.719999999999999,32.71,0.02,35.5,9.3,14.75,55.8,30.4,1016.3700000000001,1013.1899999999999,22.195,30.82
Albury,15.094999999999999,31.660000000000004,0.38,39.25,12.35,16.2,49.0,23.95,1013.7299999999999,1010.905,21.43,29.910000000000004
Albury,8.91,17.815,1.9,30.95,9.6,14.85,85.3,64.55,1017.5649999999999,1015.3549999999999,12.23,16.634999999999998
Albury,4.6850000000000005,13.309999999999999,3.7399999999999998,30.85,10.15,14.5,90.25,71.85,1020.905,1018.99,7.5200000000000005,12.305
Albury,11.334999999999999,22.305,3.3299999999999996,24.85,6.25,11.05,84.1,61.1,1020.415,1017.7549999999999,15.325,21.02
Albury,7.925,18.865000000000002,2.19,33.0,9.35,14.55,83.5,59.15,1018.4950000000001,1016.18,12.01,17.765
Albury,5.375,15.544999999999998,6.7299999999999995,29.0,10.15,13.05,88.4,62.9,1021.625,1019.585,9.18,14.709999999999999
Albury,9.03,23.345,0.63,29.45,6.9,13.8,74.45,43.4,1021.8700000000001,1018.7049999999999,13.64,22.04
Albury,9.74,22.990000000000002,1.1800000000000002,33.6,6.65,14.9,76.15,48.25,1019.46,1016.7149999999999,15.030000000000001,21.744999999999997
Albury,6.654999999999999,21.169999999999998,0.41,37.7,10.3,18.45,70.3,43.2,1018.135,1015.4649999999999,12.690000000000001,19.654999999999998
Albury,8.865,23.380000000000003,1.02,39.65,12.35,17.5,65.1,39.85,1016.3399999999999,1014.1,15.059999999999999,21.645000000000003
Albury,6.465000000000001,17.365000000000002,2.05,34.0,11.45,16.3,83.85,57.55,1017.865,1015.6049999999999,10.78,16.255000000000003
Albury,9.595,21.025,2.37,36.65,10.5,16.7,74.95,54.2,1015.3299999999999,1012.28,14.02,19.55
Albury,8.595,21.695,2.8,34.65,10.1,14.15,72.45,49.75,1018.235,1015.585,13.830000000000002,20.34
Albury,13.115,26.195,2.71,40.3,11.25,14.4,66.7,43.35,1015.8799999999999,1013.115,18.580000000000002,24.555
Albury,12.475,25.755000000000003,1.11,36.65,13.65,13.25,64.0,41.15,1016.65,1013.9350000000001,17.97,24.16
Albury,4.345000000000001,15.025,1.8800000000000001,38.05,9.25,15.35,88.9,62.15,1018.8399999999999,1016.45,7.8950000000000005,14.155000000000001
Albury,4.95,15.13,2.7600000000000002,31.7,11.45,16.65,86.05,61.15,1019.6450000000001,1017.4,8.73,14.12
Albury,3.7049999999999996,15.725,3.34,26.85,7.6,12.9,84.55,59.2,1023.9350000000001,1021.8700000000001,8.459999999999999,14.930000000000001
Albury,5.345,16.57,2.7199999999999998,27.15,7.75,13.55,83.05,61.45,1020.165,1017.985,9.895,15.59
Albury,3.6049999999999995,14.77,2.66,26.5,7.5,11.5,92.4,64.45,1021.5050000000001,1019.24,7.435,13.719999999999999
Albury,5.6,17.215,1.46,36.5,11.95,19.15,80.4,52.95,1019.2950000000001,1017.325,10.72,16.195
Albury,5.015,14.775,2.57,40.25,14.15,16.75,86.0,61.65,1016.9350000000001,1015.2049999999999,8.6,13.444999999999999
Albury,16.03,30.98,1.59,35.9,12.1,12.6,60.65,34.35,1011.975,1008.6,21.29,29.314999999999998
Albury,13.74,28.485000000000003,0.39999999999999997,32.4,9.65,14.3,64.15,39.15,1018.6850000000001,1015.585,19.490000000000002,26.99
Albury,12.42,23.785,7.87,36.35,7.15,13.75,81.5,58.0,1016.0899999999999,1013.6899999999999,16.169999999999998,22.355
Albury,9.595,20.7,2.79,31.55,8.75,12.95,81.7,53.8,1016.0899999999999,1014.385,13.015,19.6
Albury,8.309999999999999,20.919999999999998,0.38,24.0,6.7,10.4,83.45,52.25,1021.8299999999999,1018.7149999999999,12.88,20.345
Albury,4.785,14.36,3.6100000000000003,39.35,12.15,18.4,89.35,63.15,1017.74,1015.135,8.24,13.4
Albury,5.1850000000000005,15.209999999999999,2.6799999999999997,32.45,8.75,13.8,86.55,63.8,1020.765,1018.1850000000001,8.34,14.23
Albury,18.085,34.175,0.43,40.05,11.1,17.1,49.35,27.7,1013.9549999999999,1010.915,24.39,32.17
Albury,13.684999999999999,31.955000000000002,0.2,42.0,6.65,18.9,57.5,23.5,1016.2850000000001,1013.15,19.45,30.214999999999996
Albury,16.395,31.014999999999997,6.24,38.65,8.85,14.65,60.2,33.2,1016.6600000000001,1013.635,20.68,29.415
Albury,16.565,27.764999999999997,1.7899999999999998,35.15,11.25,13.4,67.55,47.7,1012.335,1010.345,20.445,26.185000000000002
Albury,14.38,26.8,2.1,43.15,12.4,18.9,66.75,38.3,1009.275,1007.1049999999999,19.009999999999998,25.575
Albury,14.370000000000001,27.145,1.05,29.35,8.95,13.65,73.7,44.4,1015.235,1013.235,17.9,26.005000000000003
Albury,15.12,26.82,13.959999999999999,33.5,10.2,14.6,74.35,55.1,1016.9799999999999,1015.1850000000001,18.869999999999997,25.11
Albury,5.46,17.419999999999998,1.28,36.65,9.75,16.75,78.5,55.85,1021.525,1018.7299999999999,10.785,16.7
Albury,9.83,21.175,4.51,33.15,11.85,12.1,76.0,55.75,1019.6200000000001,1016.7,14.63,19.93
Albury,11.129999999999999,21.634999999999998,6.2299999999999995,35.95,10.75,16.1,75.0,53.8,1015.8799999999999,1013.57,15.36,20.665
Albury,6.56,14.515,7.209999999999999,36.6,13.05,15.8,84.55,70.6,1016.905,1015.165,9.92,13.584999999999999
